Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income, Loan_Amount ,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583,$128.00 ,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,$66.00 ,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,$120.00 ,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,$141.00 ,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,$267.00 ,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,$95.00 ,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,3036,$158.00 ,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006,$168.00 ,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841,$349.00 ,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,3200,$70.00 ,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,2500,$109.00 ,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,3073,$200.00 ,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,1853,$114.00 ,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,1299,$17.00 ,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,4950,$125.00 ,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,3596,$100.00 ,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,3510,$76.00 ,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,4887,$133.00 ,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,2600,$115.00 ,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,7660,$104.00 ,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,5955,$315.00 ,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,2600,$116.00 ,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,3365,$112.00 ,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,3717,$151.00 ,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,9560,$191.00 ,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,2799,$122.00 ,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,4226,$110.00 ,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1442,$35.00 ,360,1,Urban,N
LP001087,Female,No,2,Graduate,,3750,$120.00 ,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,4166,$201.00 ,360,,Urban,N
LP001095,Male,No,0,Graduate,No,3167,$74.00 ,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,4692,$106.00 ,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,3500,$114.00 ,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,12500,$320.00 ,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,2275,,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,1828,$100.00 ,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,3667,$144.00 ,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,4166,$184.00 ,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,3748,$110.00 ,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,3600,$80.00 ,360,1,Urban,N
LP001120,Male,No,0,Graduate,No,1800,$47.00 ,360,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,2400,$75.00 ,360,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,3941,$134.00 ,360,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,4695,$96.00 ,,1,Urban,Y
LP001137,Female,No,0,Graduate,No,3410,$88.00 ,,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,5649,$44.00 ,360,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,5821,$144.00 ,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2645,$120.00 ,360,0,Urban,N
LP001151,Female,No,0,Graduate,No,4000,$144.00 ,360,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1928,$100.00 ,360,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,3086,$120.00 ,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,4230,$112.00 ,360,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,4616,$134.00 ,360,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,11500,$286.00 ,360,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,2708,$97.00 ,360,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,2132,$96.00 ,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,3366,$135.00 ,360,1,Rural,N
LP001198,Male,Yes,1,Graduate,No,8080,$180.00 ,360,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,3357,$144.00 ,360,1,Urban,Y
LP001205,Male,Yes,0,Graduate,No,2500,$120.00 ,360,1,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,3029,$99.00 ,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2609,$165.00 ,180,0,Rural,N
LP001213,Male,Yes,1,Graduate,No,4945,,360,0,Rural,N
LP001222,Female,No,0,Graduate,No,4166,$116.00 ,360,0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,5726,$258.00 ,360,1,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,3200,$126.00 ,180,0,Urban,N
LP001233,Male,Yes,1,Graduate,No,10750,$312.00 ,360,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,$125.00 ,60,1,Urban,Y
LP001241,Female,No,0,Graduate,No,4300,$136.00 ,360,0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,3208,$172.00 ,360,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875,$97.00 ,360,1,Semiurban,Y
